CustomerID,FirstName,LastName,BirthDate,Education,Occupation,Gender,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,YearlyIncome,BikeBuyer
11000,Jon,Yang,4/8/1966 12:00:00 AM,Bachelors,Professional,M,M,0,0,137947,0
11001,Eugene,Huang,5/14/1965 12:00:00 AM,Bachelors,Professional,M,S,1,3,101141,1
11002,Ruben,Torres,8/12/1965 12:00:00 AM,Bachelors,Professional,M,M,1,3,91945,0
11003,Christy,Zhu,2/15/1968 12:00:00 AM,Bachelors,Professional,F,S,1,0,86688,0
11004,Elizabeth,Johnson,8/8/1968 12:00:00 AM,Bachelors,Professional,F,S,4,5,92771,1
11005,Julio,Ruiz,8/5/1965 12:00:00 AM,Bachelors,Professional,M,S,1,0,103199,1
11006,Janet,Alvarez,12/6/1965 12:00:00 AM,Bachelors,Professional,F,S,1,0,84756,1
11007,Marco,Mehta,5/9/1964 12:00:00 AM,Bachelors,Professional,M,M,2,3,109759,1
11008,Rob,Verhoff,7/7/1964 12:00:00 AM,Bachelors,Professional,F,S,3,4,88005,1
11009,Shannon,Carlson,4/1/1964 12:00:00 AM,Bachelors,Professional,M,S,1,0,106399,0
11010,Jacquelyn,Suarez,2/6/1964 12:00:00 AM,Bachelors,Professional,F,S,1,0,81294,0
11011,Curtis,Lu,11/4/1963 12:00:00 AM,Bachelors,Professional,M,M,4,4,94029,1
11012,Lauren,Walker,1/18/1968 12:00:00 AM,Bachelors,Management,F,M,2,0,99245,1
11013,Ian,Jenkins,8/6/1968 12:00:00 AM,Bachelors,Management,M,M,3,0,115859,0
11014,Sydney,Bennett,5/9/1968 12:00:00 AM,Bachelors,Management,F,S,3,0,105157,0
11015,Chloe,Young,2/27/1979 12:00:00 AM,Partial College,Skilled Manual,F,S,1,0,40011,0
11016,Wyatt,Hill,4/28/1979 12:00:00 AM,Partial College,Skilled Manual,M,M,1,0,46808,0
11019,Luke,Lal,3/7/1978 12:00:00 AM,High School,Skilled Manual,M,S,2,0,49455,1
11020,Jordan,King,9/20/1978 12:00:00 AM,High School,Skilled Manual,M,S,2,0,43857,0
11023,Seth,Edwards,10/11/1978 12:00:00 AM,Partial College,Skilled Manual,M,M,1,0,50046,0
11024,Russell,Xie,9/17/1978 12:00:00 AM,Partial College,Skilled Manual,M,M,2,0,91276,0
11025,Alejandro,Beck,12/23/1945 12:00:00 AM,Partial High School,Clerical,M,M,2,1,24334,0
11026,Harold,Sai,4/3/1946 12:00:00 AM,Partial College,Clerical,M,S,2,0,61905,0
11027,Jessie,Zhao,12/7/1946 12:00:00 AM,Partial College,Clerical,M,M,2,0,49349,0
11028,Jill,Jimenez,4/11/1946 12:00:00 AM,Partial College,Clerical,F,M,2,0,44068,0
11031,Theresa,Ramos,8/22/1947 12:00:00 AM,High School,Skilled Manual,F,M,2,0,18843,0
11032,Denise,Stone,6/11/1947 12:00:00 AM,High School,Skilled Manual,F,M,2,0,15861,0
11033,Jaime,Nath,9/23/1947 12:00:00 AM,High School,Skilled Manual,M,M,2,0,35822,0
11034,Ebony,Gonzalez,6/19/1947 12:00:00 AM,High School,Skilled Manual,F,M,2,0,29017,0
11035,Wendy,Dominguez,2/24/1948 12:00:00 AM,Partial High School,Clerical,F,M,2,1,11721,0
11036,Jennifer,Russell,12/18/1978 12:00:00 AM,Partial College,Skilled Manual,F,M,2,0,84890,0
11037,Chloe,Garcia,11/27/1977 12:00:00 AM,Partial High School,Clerical,F,S,2,0,48651,0
11040,Jesse,Murphy,8/1/1977 12:00:00 AM,Partial College,Skilled Manual,M,M,2,0,56248,0
11042,Megan,Sanchez,6/13/1977 12:00:00 AM,Partial College,Skilled Manual,F,M,2,0,70623,0
11043,Nathan,Simmons,2/24/1976 12:00:00 AM,Partial College,Skilled Manual,M,M,2,0,78150,0
11044,Adam,Flores,5/24/1949 12:00:00 AM,Partial High School,Clerical,M,M,2,1,24007,0
11045,Leonard,Nara,5/19/1950 12:00:00 AM,High School,Skilled Manual,M,S,2,0,51472,0
11046,Christine,Yuan,3/22/1950 12:00:00 AM,High School,Skilled Manual,F,M,2,0,50798,0
11047,Jaclyn,Lu,2/27/1950 12:00:00 AM,High School,Skilled Manual,F,M,2,0,42738,0
11049,Carol,Rai,7/18/1980 12:00:00 AM,Partial High School,Clerical,F,S,2,0,48422,1
11050,Alan,Zheng,9/7/1951 12:00:00 AM,High School,Skilled Manual,M,M,2,0,58585,0
11051,Daniel,Johnson,8/4/1951 12:00:00 AM,High School,Skilled Manual,M,S,2,0,45982,0
11052,Heidi,Lopez,8/7/1951 12:00:00 AM,Partial College,Clerical,F,S,2,0,50790,0
11053,Ana,Price,8/20/1980 12:00:00 AM,Partial College,Skilled Manual,F,M,2,0,91599,0
